"","plantspeciescut2df[!grepl(""sp."", plantspeciescut2df$plantspeciescut), ]","species"
"3643","Rhexia mariana","Rhexia mariana"
"3644","Eschscholzia californica","Eschscholzia californica"
"3645","Onosmodium virginianum","Onosmodium virginianum"
"3646","Aesculus parviflora","Aesculus parviflora"
"3647","Solidago discoidea","Solidago discoidea"
"3648","Nassella viridula","Nassella viridula"
"3649","Rhododendron calendulaceum","Rhododendron calendulaceum"
"3650","Desmodium nuttallii","Desmodium nuttallii"
"3651","Symphyotrichum georgianum","Symphyotrichum georgianum"
"3652","Cirsium carolinianum","Cirsium carolinianum"
"3653","Cyperus retrofractus","Cyperus retrofractus"
"3654","Glandularia tenera","Glandularia tenera"
"3655","Cyperus refractus","Cyperus refractus"
"3656","Magnolia pyramidata","Magnolia pyramidata"
"3657","Malus angustifolia","Malus angustifolia"
"3658","Smilax pseudochina","Smilax pseudochina"
"3659","Macbridea caroliniana","Macbridea caroliniana"
"3660","Isotria verticillata","Isotria verticillata"
"3661","Vicia caroliniana","Vicia caroliniana"
"3662","Liatris squarrosa","Liatris squarrosa"
"3663","Eupatorium album","Eupatorium album"
"3664","Aletris farinosa","Aletris farinosa"
"3665","Platanthera ciliaris","Platanthera ciliaris"
"3666","Dichanthelium dichotomum","Dichanthelium dichotomum"
"3667","Gratiola pilosa","Gratiola pilosa"
"3668","Viburnum obovatum","Viburnum obovatum"
"3669","Helianthus longifolius","Helianthus longifolius"
"3670","Canna glauca","Canna glauca"
"3671","Quercus sinuata","Quercus sinuata"
"3672","Pinaropappus parvus","Pinaropappus parvus"
"3673","Dichanthelium dichotomum","Dichanthelium dichotomum"
"3674","Aristida simpliciflora","Aristida simpliciflora"
"3675","Dichanthelium ravenelii","Dichanthelium ravenelii"
"3676","Cabomba caroliniana","Cabomba caroliniana"
"3677","Orbexilum pedunculatum","Orbexilum pedunculatum"
"3678","Viburnum nudum","Viburnum nudum"
"3679","Arundinaria tecta","Arundinaria tecta"
"3680","Bidens laevis","Bidens laevis"
"3681","Collinsonia tuberosa","Collinsonia tuberosa"
"3682","Diarrhena obovata","Diarrhena obovata"
"3683","Ammi majus","Ammi majus"
"3684","Desmodium batocaulon","Desmodium batocaulon"
"3685","Diodia virginiana","Diodia virginiana"
"3686","Helianthus atrorubens","Helianthus atrorubens"
"3687","Spiranthes tuberosa","Spiranthes tuberosa"
"3688","Solidago arguta","Solidago arguta"
"3689","Viola langloisii","Viola langloisii"
"3690","Lepidium bonariense","Lepidium bonariense"
"3691","Quercus ×fernaldii","Quercus ×fernaldii"
"3692","Hydrolea quadrivalvis","Hydrolea quadrivalvis"
"3693","Rudbeckia triloba","Rudbeckia triloba"
"3694","Chionanthus virginicus","Chionanthus virginicus"
"3695","Ceanothus cordulatus","Ceanothus cordulatus"
"3696","Arctostaphylos patula","Arctostaphylos patula"
"3697","Gayophytum diffusum","Gayophytum diffusum"
"3698","Collinsia grandiflora","Collinsia grandiflora"
"3699","Monardella odoratissima","Monardella odoratissima"
"3700","Pedicularis semibarbata","Pedicularis semibarbata"
"3701","Pinus jeffreyi","Pinus jeffreyi"
"3702","Abies magnifica","Abies magnifica"
"3703","Hackelia velutina","Hackelia velutina"
"3704","Phacelia hydrophylloides","Phacelia hydrophylloides"
"3705","Viola purpurea","Viola purpurea"
"3706","Viola praemorsa","Viola praemorsa"
"3707","Senecio aronicoides","Senecio aronicoides"
"3708","Hackelia mundula","Hackelia mundula"
"3709","Mimulus breweri","Mimulus breweri"
"3710","Mimulus montioides","Mimulus montioides"
"3711","Calochortus leichtlinii","Calochortus leichtlinii"
"3712","Eriogonum nudum","Eriogonum nudum"
"3713","Castilleja applegatei","Castilleja applegatei"
"3714","Arctostaphylos nevadensis","Arctostaphylos nevadensis"
"3715","Arenaria congesta","Arenaria congesta"
"3716","Chaenactis douglasii","Chaenactis douglasii"
"3717","Allium campanulatum","Allium campanulatum"
"3718","Leptosiphon montanus","Leptosiphon montanus"
"3719","Ribes viscosissimum","Ribes viscosissimum"
"3720","Frangula rubra","Frangula rubra"
"3721","Abies concolor","Abies concolor"
"3722","Silene lemmonii","Silene lemmonii"
"3723","Kelloggia galioides","Kelloggia galioides"
"3724","Horkelia tridentata","Horkelia tridentata"
"3725","Penstemon newberryi","Penstemon newberryi"
"3726","Sedum obtusatum","Sedum obtusatum"
"3727","Streptanthus tortuosus","Streptanthus tortuosus"
"3728","Chrysolepis sempervirens","Chrysolepis sempervirens"
"3729","Collinsia torreyi","Collinsia torreyi"
"3730","Achnatherum occidentale","Achnatherum occidentale"
"3731","Horkelia tridentata","Horkelia tridentata"
"3732","Mimulus whitneyi","Mimulus whitneyi"
"3733","Gentianella propinqua","Gentianella propinqua"
"3734","Mimulus primuloides","Mimulus primuloides"
"3735","Helenium bigelovii","Helenium bigelovii"
"3736","Camassia quamash","Camassia quamash"
"3737","Dodecatheon jeffreyi","Dodecatheon jeffreyi"
"3738","Lotus oblongifolius","Lotus oblongifolius"
"3739","Oxypolis occidentalis","Oxypolis occidentalis"
"3740","Platanthera dilatata","Platanthera dilatata"
"3741","Veratrum californicum","Veratrum californicum"
"3742","Viola macloskeyi","Viola macloskeyi"
"3743","Carex luzulina","Carex luzulina"
"3744","Carex nebrascensis","Carex nebrascensis"
"3745","Phalacroseris bolanderi","Phalacroseris bolanderi"
"3746","Lilium parvum","Lilium parvum"
"3747","Perideridia parishii","Perideridia parishii"
"3748","Mimulus moschatus","Mimulus moschatus"
"3749","Pseudostellaria jamesiana","Pseudostellaria jamesiana"
"3750","Carex fracta","Carex fracta"
"3751","Thalictrum fendleri","Thalictrum fendleri"
"3752","Eucephalus breweri","Eucephalus breweri"
"3753","Calystegia malacophylla","Calystegia malacophylla"
"3754","Eriogonum wrightii","Eriogonum wrightii"
"3755","Penstemon rostriflorus","Penstemon rostriflorus"
"3756","Pellaea bridgesii","Pellaea bridgesii"
"3757","Symphoricarpos mollis","Symphoricarpos mollis"
"3758","Bromus marginatus","Bromus marginatus"
"3759","Ageratina occidentalis","Ageratina occidentalis"
"3760","Viola aurea","Viola aurea"
"3761","Juniperus grandis","Juniperus grandis"
"3762","Hemizonella minima","Hemizonella minima"
"3763","Calochortus minimus","Calochortus minimus"
"3764","Lomatium torreyi","Lomatium torreyi"
"3765","Mimulus leptaleus","Mimulus leptaleus"
"3766","Penstemon newberryi","Penstemon newberryi"
"3767","Delphinium nuttallianum","Delphinium nuttallianum"
"3768","Mimulus layneae","Mimulus layneae"
"3769","Pectocarya setosa","Pectocarya setosa"
"3770","Allophyllum integrifolium","Allophyllum integrifolium"
"3771","Poa bolanderi","Poa bolanderi"
"3772","Dichanthelium xanthophysum","Dichanthelium xanthophysum"
"3773","Rumex acetosa","Rumex acetosa"
"3774","Corallorhiza trifida","Corallorhiza trifida"
"3775","Pilea fontana","Pilea fontana"
"3776","Eutrochium maculatum","Eutrochium maculatum"
"3777","Epilobium leptophyllum","Epilobium leptophyllum"
"3778","Aquilegia canadensis","Aquilegia canadensis"
"3779","Urtica dioica","Urtica dioica"
"3780","Symphyotrichum novae-angliae","Symphyotrichum novae-angliae"
"3781","Juncus alpinoarticulatus","Juncus alpinoarticulatus"
"3782","Ranunculus trichophyllus","Ranunculus trichophyllus"
"3783","Potentilla argentea","Potentilla argentea"
"3784","Lonicera ×bella","Lonicera ×bella"
"3785","Equisetum fluviatile","Equisetum fluviatile"
"3786","Salix sericea","Salix sericea"
"3787","Citrullus lanatus","Citrullus lanatus"
"3788","Bidens connata","Bidens connata"
"3789","Agalinis tenuifolia","Agalinis tenuifolia"
"3790","Ambrosia ×intergradiens","Ambrosia ×intergradiens"
"3791","Carex laeviconica","Carex laeviconica"
"3792","Pedicularis canadensis","Pedicularis canadensis"
"3793","Pedicularis canadensis","Pedicularis canadensis"
"3794","Eruca vesicaria","Eruca vesicaria"
"3795","Solidago juncea","Solidago juncea"
"3796","Tanacetum vulgare","Tanacetum vulgare"
"3797","Juncus effusus","Juncus effusus"
"3798","Botrychium lanceolatum","Botrychium lanceolatum"
"3799","Galeopsis bifida","Galeopsis bifida"
"3800","Amphicarpaea bracteata","Amphicarpaea bracteata"
"3801","Glandularia bipinnatifida","Glandularia bipinnatifida"
"3802","Euonymus fortunei","Euonymus fortunei"
"3803","Toxicodendron radicans","Toxicodendron radicans"
"3804","Muhlenbergia sylvatica","Muhlenbergia sylvatica"
"3805","Solidago canadensis","Solidago canadensis"
"3806","Erysimum hieraciifolium","Erysimum hieraciifolium"
"3807","Fragaria virginiana","Fragaria virginiana"
"3808","Symphyotrichum drummondii","Symphyotrichum drummondii"
"3809","Veronica peregrina","Veronica peregrina"
"3810","Botrychium acuminatum","Botrychium acuminatum"
"3811","Ellisia nyctelea","Ellisia nyctelea"
"3812","Geum canadense","Geum canadense"
"3813","Carex hirsutella","Carex hirsutella"
"3814","Desmodium glabellum","Desmodium glabellum"
"3815","Dasistoma macrophylla","Dasistoma macrophylla"
"3816","Symphoricarpos occidentalis","Symphoricarpos occidentalis"
"3817","Vernonia arkansana","Vernonia arkansana"
"3818","Populus deltoides","Populus deltoides"
"3819","Dichanthelium leibergii","Dichanthelium leibergii"
"3820","Penstemon tubaeflorus","Penstemon tubaeflorus"
"3821","Scleria pauciflora","Scleria pauciflora"
"3822","Verbena simplex","Verbena simplex"
"3823","Symphyotrichum praealtum","Symphyotrichum praealtum"
"3824","Carex annectens","Carex annectens"
"3825","Muhlenbergia glomerata","Muhlenbergia glomerata"
"3826","Cardamine parviflora","Cardamine parviflora"
"3827","Mimosa rupertiana","Mimosa rupertiana"
"3828","Carex amphibola","Carex amphibola"
"3829","Lilium michiganense","Lilium michiganense"
"3830","Symphyotrichum oolentangiense","Symphyotrichum oolentangiense"
"3831","Stachys tenuifolia","Stachys tenuifolia"
"3832","Carex umbellata","Carex umbellata"
"3833","Hedeoma pulegioides","Hedeoma pulegioides"
"3834","Setaria pumila","Setaria pumila"
"3835","Echinochloa muricata","Echinochloa muricata"
"3836","Salix humilis","Salix humilis"
"3837","Cuphea viscosissima","Cuphea viscosissima"
"3838","Cyperus erythrorhizos","Cyperus erythrorhizos"
"3839","Veronica polita","Veronica polita"
"3840","Echinochloa muricata","Echinochloa muricata"
"3841","Silphium laciniatum","Silphium laciniatum"
"3842","Helianthus grosseserratus","Helianthus grosseserratus"
"3843","Sphenopholis intermedia","Sphenopholis intermedia"
"3844","Rhus copallinum","Rhus copallinum"
"3845","Euphorbia dentata","Euphorbia dentata"
"3846","Aristida oligantha","Aristida oligantha"
"3847","Sporobolus compositus","Sporobolus compositus"
"3848","Asclepias tuberosa","Asclepias tuberosa"
"3849","Myosotis verna","Myosotis verna"
"3850","Carex gravida","Carex gravida"
"3851","Brickellia eupatorioides","Brickellia eupatorioides"
"3852","Baptisia alba","Baptisia alba"
"3853","Gentiana puberulenta","Gentiana puberulenta"
"3854","Veronica agrestis","Veronica agrestis"
"3855","Pluchea carolinensis","Pluchea carolinensis"
"3856","Quercus shumardii","Quercus shumardii"
"3857","Erythronium albidum","Erythronium albidum"
"3858","Cornus obliqua","Cornus obliqua"
"3859","Rhus aromatica","Rhus aromatica"
"3860","Dicentra cucullaria","Dicentra cucullaria"
"3861","Elymus glabriflorus","Elymus glabriflorus"
"3862","Celtis laevigata","Celtis laevigata"
"3863","Myrrhis odorata","Myrrhis odorata"
"3864","Carex magellanica","Carex magellanica"
"3865","Carex pauciflora","Carex pauciflora"
"3866","Sarracenia purpurea","Sarracenia purpurea"
"3867","Sarracenia rosea","Sarracenia rosea"
"3868","Corallorhiza maculata","Corallorhiza maculata"
"3869","Anemone canadensis","Anemone canadensis"
"3870","Hieracium umbellatum","Hieracium umbellatum"
"3871","Hieracium lachenalii","Hieracium lachenalii"
"3872","Amaranthus retroflexus","Amaranthus retroflexus"
"3873","Myosotis scorpioides","Myosotis scorpioides"
"3874","Myosotis sylvatica","Myosotis sylvatica"
"3875","Bidens cernua","Bidens cernua"
"3876","Triadenum fraseri","Triadenum fraseri"
"3877","Crumia latifolia","Crumia latifolia"
"3878","Salix pyrifolia","Salix pyrifolia"
"3879","Bidens coronata","Bidens coronata"
"3880","Cicuta bulbifera","Cicuta bulbifera"
"3881","Carum carvi","Carum carvi"
"3882","Eriophorum tenellum","Eriophorum tenellum"
"3883","Vallisneria americana","Vallisneria americana"
"3884","Drepanocladus crassicostatus","Drepanocladus crassicostatus"
"3885","Hieracium pilosella","Hieracium pilosella"
"3886","Bromus erectus","Bromus erectus"
"3887","Ranunculus pensylvanicus","Ranunculus pensylvanicus"
"3888","Bromus kalmii","Bromus kalmii"
"3889","Pyrola asarifolia","Pyrola asarifolia"
"3890","Viburnum prunifolium","Viburnum prunifolium"
"3891","Iris virginica","Iris virginica"
"3892","Sium suave","Sium suave"
"3893","Garcinia portoricensis","Garcinia portoricensis"
"3894","Taxus brevifolia","Taxus brevifolia"
"3895","Gaultheria ovatifolia","Gaultheria ovatifolia"
"3896","Chimaphila menziesii","Chimaphila menziesii"
"3897","Anemone oregana","Anemone oregana"
"3898","Lonicera ciliosa","Lonicera ciliosa"
"3899","Allotropa virgata","Allotropa virgata"
"3900","Clintonia uniflora","Clintonia uniflora"
"3901","Acer glabrum","Acer glabrum"
"3902","Paxistima myrsinites","Paxistima myrsinites"
"3903","Corallorhiza striata","Corallorhiza striata"
"3904","Mitella caulescens","Mitella caulescens"
"3905","Rubus nivalis","Rubus nivalis"
"3906","Arceuthobium tsugense","Arceuthobium tsugense"
"3907","Chimaphila umbellata","Chimaphila umbellata"
"3908","Clarkia bottae","Clarkia bottae"
"3909","Hemitomes congestum","Hemitomes congestum"
"3910","Hieracium scouleri","Hieracium scouleri"
"3911","Lilium columbianum","Lilium columbianum"
"3912","Linum lewisii","Linum lewisii"
"3913","Festuca idahoensis","Festuca idahoensis"
"3914","Selaginella densa","Selaginella densa"
"3915","Leymus cinereus","Leymus cinereus"
"3916","Geum triflorum","Geum triflorum"
"3917","Achnatherum richardsonii","Achnatherum richardsonii"
"3918","Geranium viscosissimum","Geranium viscosissimum"
"3919","Phlox multiflora","Phlox multiflora"
"3920","Penstemon procerus","Penstemon procerus"
"3921","Rosa acicularis","Rosa acicularis"
"3922","Linaria dalmatica","Linaria dalmatica"
"3923","Clematis hirsutissima","Clematis hirsutissima"
"3924","Delphinium bicolor","Delphinium bicolor"
"3925","Leptosiphon septentrionalis","Leptosiphon septentrionalis"
"3926","Lomatium triternatum","Lomatium triternatum"
"3927","Carex xerantica","Carex xerantica"
"3928","Crepis atribarba","Crepis atribarba"
"3929","Lupinus leucophyllus","Lupinus leucophyllus"
"3930","Artemisia cana","Artemisia cana"
"3931","Heuchera cylindrica","Heuchera cylindrica"
"3932","Besseya wyomingensis","Besseya wyomingensis"
"3933","Juncus arcticus","Juncus arcticus"
"3934","Eriogonum umbellatum","Eriogonum umbellatum"
"3935","Barbarea orthoceras","Barbarea orthoceras"
"3936","Ranunculus inamoenus","Ranunculus inamoenus"
"3937","Anemone multifida","Anemone multifida"
"3938","Lepidium ramosissimum","Lepidium ramosissimum"
"3939","Potentilla hippiana","Potentilla hippiana"
"3940","Packera pseudaurea","Packera pseudaurea"
"3941","Logfia arvensis","Logfia arvensis"
"3942","Arnica longifolia","Arnica longifolia"
"3943","Arabis nuttallii","Arabis nuttallii"
"3944","Lupinus sericeus","Lupinus sericeus"
"3945","Potentilla arguta","Potentilla arguta"
"3946","Perideridia gairdneri","Perideridia gairdneri"
"3947","Symphyotrichum ascendens","Symphyotrichum ascendens"
"3948","Chenopodium atrovirens","Chenopodium atrovirens"
"3949","Linaria dalmatica","Linaria dalmatica"
"3950","Draba nemorosa","Draba nemorosa"
"3951","Castilleja pilosa","Castilleja pilosa"
"3952","Spiraea betulifolia","Spiraea betulifolia"
"3953","Arenaria congesta","Arenaria congesta"
"3954","Achillea millefolium","Achillea millefolium"
"3955","Eucephalus elegans","Eucephalus elegans"
"3956","Fritillaria atropurpurea","Fritillaria atropurpurea"
"3957","Packera streptanthifolia","Packera streptanthifolia"
"3958","Senecio serra","Senecio serra"
"3959","Potentilla gracilis","Potentilla gracilis"
"3960","Potentilla macounii","Potentilla macounii"
"3961","Symphyotrichum campestre","Symphyotrichum campestre"
"3962","Erigeron corymbosus","Erigeron corymbosus"
"3963","Astragalus miser","Astragalus miser"
"3964","Buglossoides arvensis","Buglossoides arvensis"
"3965","Ericameria nauseosa","Ericameria nauseosa"
"3966","Achnatherum nelsonii","Achnatherum nelsonii"
"3967","Pohlia filum","Pohlia filum"
"3968","Valeriana dioica","Valeriana dioica"
"3969","Pinus albicaulis","Pinus albicaulis"
"3970","Allium brevistylum","Allium brevistylum"
"3971","Muhlenbergia filiformis","Muhlenbergia filiformis"
"3972","Orthocarpus luteus","Orthocarpus luteus"
"3973","Eurybia merita","Eurybia merita"
"3974","Heuchera cylindrica","Heuchera cylindrica"
"3975","Prosartes trachycarpa","Prosartes trachycarpa"
"3976","Madia glomerata","Madia glomerata"
"3977","Juncus confusus","Juncus confusus"
"3978","Oxytropis lagopus","Oxytropis lagopus"
"3979","Danthonia californica","Danthonia californica"
"3980","Elymus elymoides","Elymus elymoides"
"3981","Lappula squarrosa","Lappula squarrosa"
"3982","Viola nuttallii","Viola nuttallii"
"3983","Heterotheca villosa","Heterotheca villosa"
"3984","Monolepis nuttalliana","Monolepis nuttalliana"
"3985","Packera paupercula","Packera paupercula"
"3986","Achnatherum occidentale","Achnatherum occidentale"
"3987","Erigeron peregrinus","Erigeron peregrinus"
"3988","Penstemon aridus","Penstemon aridus"
"3989","Machaeranthera canescens","Machaeranthera canescens"
"3990","Artemisia tridentata","Artemisia tridentata"
"3991","Crepis runcinata","Crepis runcinata"
"3992","Vaccinium scoparium","Vaccinium scoparium"
"3993","Lonicera utahensis","Lonicera utahensis"
"3994","Symphoricarpos albus","Symphoricarpos albus"
"3995","Woodsia scopulina","Woodsia scopulina"
"3996","Clematis occidentalis","Clematis occidentalis"
