"Ulmus alata,"
"Montia parvifolia,"
"Sisyrinchium idahoense,"
"Lonicera albiflora,"
"Deiregyne confusa,"
"Asclepias engelmanniana,"
"Opuntia phaeacantha,"
"Quercus shumardii,"
"Fraxinus albicans,"
"Dalea tenuifolia,"
"Rhus trilobata,"
"Rhus aromatica,"
"Gaura sinuata,"
"Solanum elaeagnifolium,"
"Eragrostis pectinacea,"
"Panicum coloratum,"
"Polygonum tenue,"
"Tridens congestus,"
"Asclepias arenaria,"
"Carex leavenworthii,"
"Dicliptera sexangularis,"
"Hypericum hypericoides,"
"Aloysia gratissima,"
"Cyperus acuminatus,"
"Cyperus retrorsus,"
"Alopecurus carolinianus,"
"Sedum pulchellum,"
"Symphyotrichum patens,"
"Cynodon dactylon,"
"Desmodium ciliare,"
"Agalinis homalantha,"
"Sophora nuttalliana,"
"Strophostyles helvola,"
"Woodsia obtusa,"
"Aegilops cylindrica,"
"Poa arachnifera,"
"Senna occidentalis,"
"Desmodium canescens,"
"Eragrostis curtipedicellata,"
"Gutierrezia texana,"
"Eriogonum annuum,"
"Eragrostis secundiflora,"
"Gaillardia amblyodon,"
"Leptochloa panicea,"
"Oenothera linifolia,"
"Eriogonum molestum,"
"Nelumbo lutea,"
"Ampelopsis arborea,"
"Rhynchosia americana,"
"Pellaea atropurpurea,"
"Andropogon gyrans,"
"Rhynchosia minima,"
"Polygonum punctatum,"
"Polygonum ramosissimum,"
"Lamarckia aurea,"
"Ponthieva racemosa,"
"Elephantopus carolinianus,"
"Lindheimera texana,"
"Allium canadense,"
"Grindelia squarrosa,"
"Grimmia laevigata,"
"Polygala ramosa,"
"Salvia azurea,"
"Hymenopappus filifolius,"
"Salvia engelmannii,"
"Salvia texana,"
"Chamaesyce cordifolia,"
"Escobaria missouriensis,"
"Gutierrezia sarothrae,"
"Hybanthus verticillatus,"
"Rhynchosida physocalyx,"
"Aphanostephus skirrhobasis,"
"Liatris punctata,"
"Salix myrtillifolia,"
"Achillea millefolium,"
"Silene repens,"
"Stellaria longipes,"
"Galium boreale,"
"Arctostaphylos uva-ursi,"
"Silene menziesii,"
"Solidago multiradiata,"
"Lupinus arcticus,"
"Chamerion angustifolium,"
"Carex deweyana,"
"Arnica frigida,"
"Erigeron acris,"
"Betula nana,"
